Depth,Sonic 
0.22562,0.607867672
0.22572,0.609314593
0.22582,0.611785186
0.22592,0.614282027
0.22602,0.616388429
0.22612,0.617389134
0.22622,0.616769025
0.22632,0.616352338
0.22642,0.616969166
0.22652,0.617372729
0.22662,0.615748634
0.22672,0.611453805
0.22682,0.607388646
0.22692,0.60723772
0.22702,0.611263507
0.22712,0.61645733
0.22722,0.617497407
0.22732,0.6107812
0.22742,0.60152878
0.22752,0.596338238
0.22762,0.593700314
0.22772,0.591669375
0.22782,0.589300493
0.22792,0.584149323
0.22802,0.579293443
0.22812,0.578565061
0.22822,0.579956205
0.22832,0.581176737
0.22842,0.581498275
0.22852,0.579910271
0.22862,0.575622004
0.22872,0.569220773
0.22882,0.561864771
0.22892,0.555850698
0.22902,0.551687109
0.22912,0.547139643
0.22922,0.543609287
0.22932,0.542953087
0.22942,0.544357355
0.22952,0.547251197
0.22962,0.551303232
0.22972,0.555614466
0.23592,0.576222427
0.23602,0.560070064
0.23612,0.548107538
0.2361688,0.570639749
0.23622,0.547786
0.23632,0.564620811
0.2363212,0.570582364
0.23642,0.59431058
0.23652,0.620233761
0.24022,0.589658122
0.24032,0.58469725
0.24042,0.577725125
0.24052,0.574404753
0.24062,0.577121421
0.24072,0.585373136
0.24082,0.595645947
0.24092,0.599090997
0.24142,0.578473193
0.24152,0.606076246
0.24162,0.617871441
0.24172,0.610115157
0.24182,0.5956886
0.24192,0.590842563
0.24202,0.59447463
0.24212,0.597158488
0.24222,0.59329347
0.24232,0.581632796
0.24242,0.569486534
0.24252,0.566340055
0.24262,0.572094929
0.24272,0.579313129
0.24282,0.58076005
0.24292,0.576084625
0.2485132,0.566882392
0.2521708,0.562341386
0.2523232,0.563662219
0.2524756,0.566899188
0.252628,0.569856287
0.2530852,0.567971254
0.2532376,0.564119426
0.25339,0.560671817
0.2535424,0.562607476
0.2536948,0.56452522
0.25742,0.575254532
0.25752,0.559167789
0.25762,0.5569728
0.25772,0.567281702
0.25782,0.5819084
0.25792,0.591951541
0.2604004,0.556173482
0.2605528,0.584762357
0.2607052,0.576045749
0.2675632,0.570836153
0.2677156,0.571342411
0.267868,0.576874858
0.2681728,0.57410185
0.26962,0.577590604
0.26972,0.590530868
0.26982,0.597942647
0.26992,0.595832964
0.27002,0.589526882
0.27012,0.584185414
0.27022,0.580996282
0.27032,0.578679896
0.27042,0.575254532
0.27052,0.572190078
0.27062,0.570303503
0.27072,0.568918921
0.27082,0.570431462
0.27092,0.575303747
0.27102,0.58164592
0.27112,0.588670541
0.27122,0.594520564
0.27132,0.595770625
0.27182,0.574243984
0.27192,0.564902977
0.27202,0.562114127
0.27212,0.565391846
0.27222,0.571776672
0.27232,0.576576775
0.27242,0.578128688
0.27252,0.577403587
0.27262,0.574818159
0.27272,0.57167168
0.27282,0.570506925
0.27292,0.572367252
0.27302,0.575474359
0.27312,0.576576775
0.27322,0.575284061
0.27332,0.576038691
0.27342,0.58315518
0.27352,0.595514707
0.27362,0.604081398
0.27372,0.599222237
0.27382,0.585442037
0.27392,0.578023696
0.27402,0.582190566
0.27412,0.589330022
0.27422,0.590796629
0.27432,0.584267439
0.27442,0.575047829
0.2750308,0.569408336
0.27532,0.598917104
0.27542,0.595449087
0.27552,0.592742262
0.27562,0.591469234
0.27572,0.591055828
0.27582,0.591469234
0.27592,0.594979904
0.27602,0.601305672
0.27612,0.608901187
0.27622,0.611056804
0.27632,0.602818213
0.27642,0.588690227
